,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
368,Samsung,Samsung 7,65,Ultra HD (4K),LED,Not Specified,8304,929,4.0,66890,92900,Tizen,2021,28.0
369,Samsung,Samsung Crystal 4K Vista,65,Ultra HD (4K),LED,4K Upscal...,1282,157,4.1,22999,22999,Tizen,2025,0.0
370,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,23739,1727,4.4,10499,379990,Google,2025,97.24
371,TCL,TCL C7K,75,Ultra HD (4K),LED,Audio by Bang & Oluf...,1682,226,4.2,19999,19999,Google,2025,0.0
372,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,9842,1303,4.3,13499,40990,Coolita,2025,67.07
373,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,5721,807,4.2,12990,44990,Android,2025,71.13
374,Reliance,Reliance,43,Full HD,LED,Frameless Design & Voice Remot...,7,0,4.6,19990,99990,Google,2025,80.01
375,iFFALCON,iFFALCON U75,65,Ultra HD (4K),LED,144 Hz VRR | Wide Co...,9842,1303,4.3,29990,29990,Google,2025,0.0
376,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,1695,365,4.2,7490,13999,Android,2024,46.5
377,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,6295,918,4.3,7699,239990,Coolita,2025,96.79
378,TCL,TCL C72K,65,Ultra HD (4K),LED,Precise Dimming Ser...,23739,1727,4.4,99990,179990,Google,2025,44.45
379,TCL,TCL C7K,55,Ultra HD (4K),LED,Audio by Bang & Oluf...,6,0,4.2,28990,28990,Google,2025,0.0
380,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,951,148,4.1,7590,249999,Android,2025,96.96
381,Hisense,Hisense 85E7Q,85,Ultra HD (4K),LED,"Dolby Vision Atmos,...",25710,2989,4.2,22990,22990,VIDAA,2025,0.0
382,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,18,3,3.6,5890,22990,Android,2024,74.38
383,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,5890,114990,Android,2025,94.88
384,LG,LG AI TV UA8200,65,Ultra HD (4K),LED,Alpha7 AI Processo...,8304,929,4.0,64990,99999,webOS,2025,35.01
385,TOSHIBA,TOSHIBA 65Z570RP,65,Ultra HD (4K),LED,Dolby Vision IQ ...,25710,2989,4.2,59999,59999,VIDAA,2025,0.0
386,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",91,12,4.2,31999,34990,Google,2024,8.55
387,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,1282,157,4.1,19999,21990,Android,2023,9.05
388,TCL,Unknown,32,HD Ready,LED,with 100% Color Volume Plus...,8304,929,4.0,13490,79990,Google,2025,83.14
389,iFFALCON,iFFALCON U75,55,Ultra HD (4K),LED,144 Hz VRR | Wide Co...,51026,3779,4.3,37999,44999,Google,2025,15.56
390,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",11,0,3.2,21999,93900,Google,2024,76.57
